course_id,course_name,group_id,teacher,room,credit,students
COURSE_001,과목001,GRP01,교사01,R101,3,"S0010,S0012,S0017,S0024,S0036,S0041,S0048,S0060,S0065,S0067,S0072,S0091,S0096,S0115,S0120,S0122,S0127,S0139,S0146,S0151,S0163,S0165,S0170,S0175,S0177,S0189,S0194,S0201,S0218,S0220,S0225,S0230,S0244,S0249,S0256,S0268,S0273,S0275,S0280,S0292,S0299,S0304,S0323,S0328,S0330,S0347,S0354,S0359,S0371,S0378,S0383,S0385,S0395,S0397,S0402,S0409,S0421,S0426,S0433,S0450,S0452,S0457,S0476"
COURSE_002,과목002,GRP02,교사02,R102,4,"S0014,S0019,S0038,S0043,S0045,S0050,S0062,S0069,S0074,S0086,S0088,S0093,S0098,S0100,S0112,S0117,S0124,S0141,S0143,S0148,S0153,S0167,S0172,S0179,S0191,S0196,S0198,S0203,S0215,S0222,S0227,S0246,S0251,S0253,S0270,S0277,S0282,S0294,S0301,S0306,S0308,S0318,S0320,S0325,S0332,S0344,S0349,S0356,S0373,S0375,S0380,S0399,S0404,S0411,S0423,S0428,S0430,S0435,S0447,S0454,S0459,S0471,S0473,S0478"
COURSE_003,과목003,GRP03,교사03,R103,2,"S0009,S0011,S0016,S0021,S0023,S0035,S0040,S0047,S0064,S0066,S0071,S0076,S0090,S0095,S0102,S0114,S0119,S0121,S0126,S0138,S0145,S0150,S0169,S0174,S0176,S0193,S0200,S0205,S0217,S0224,S0229,S0231,S0241,S0243,S0248,S0255,S0267,S0272,S0279,S0296,S0298,S0303,S0322,S0327,S0334,S0346,S0351,S0353,S0358,S0370,S0377,S0382,S0394,S0396,S0401,S0406,S0408,S0425,S0432,S0449,S0451,S0456,S0461,S0463,S0475,S0480"
COURSE_004,과목004,GRP04,교사04,R104,3,"S0013,S0018,S0025,S0037,S0042,S0044,S0049,S0061,S0068,S0073,S0092,S0097,S0099,S0116,S0123,S0128,S0140,S0147,S0152,S0154,S0164,S0166,S0171,S0178,S0190,S0195,S0202,S0219,S0221,S0226,S0245,S0250,S0257,S0269,S0274,S0276,S0281,S0293,S0300,S0305,S0317,S0319,S0324,S0329,S0331,S0348,S0355,S0372,S0374,S0379,S0384,S0386,S0398,S0403,S0410,S0422,S0427,S0429,S0434,S0446,S0453,S0458,S0477"
COURSE_005,과목005,GRP05,교사05,R105,4,"S0015,S0020,S0022,S0039,S0046,S0051,S0063,S0070,S0075,S0077,S0087,S0089,S0094,S0101,S0113,S0118,S0125,S0142,S0144,S0149,S0168,S0173,S0180,S0192,S0197,S0199,S0204,S0216,S0223,S0228,S0240,S0242,S0247,S0252,S0254,S0271,S0278,S0295,S0297,S0302,S0307,S0309,S0321,S0326,S0333,S0345,S0350,S0352,S0357,S0369,S0376,S0381,S0400,S0405,S0407,S0424,S0431,S0436,S0448,S0455,S0460,S0462,S0472,S0474,S0479"
COURSE_006,과목006,GRP06,교사06,R106,2,"S0010,S0012,S0017,S0024,S0036,S0041,S0048,S0065,S0067,S0072,S0091,S0096,S0103,S0115,S0120,S0122,S0127,S0139,S0146,S0151,S0163,S0165,S0170,S0175,S0177,S0194,S0201,S0218,S0220,S0225,S0230,S0232,S0244,S0249,S0256,S0268,S0273,S0275,S0280,S0292,S0299,S0304,S0323,S0328,S0330,S0347,S0354,S0359,S0371,S0378,S0383,S0385,S0395,S0397,S0402,S0409,S0421,S0426,S0433,S0450,S0452,S0457,S0476"
COURSE_007,과목007,GRP07,교사07,R107,3,"S0014,S0019,S0026,S0038,S0043,S0045,S0050,S0062,S0069,S0074,S0086,S0088,S0093,S0098,S0100,S0117,S0124,S0141,S0143,S0148,S0153,S0155,S0167,S0172,S0179,S0191,S0196,S0198,S0203,S0215,S0222,S0227,S0246,S0251,S0253,S0270,S0277,S0282,S0294,S0301,S0306,S0308,S0318,S0320,S0325,S0332,S0344,S0349,S0356,S0373,S0375,S0380,S0399,S0404,S0411,S0423,S0428,S0430,S0435,S0447,S0454,S0459,S0473,S0478"
COURSE_008,과목008,GRP08,교사08,R108,4,"S0009,S0011,S0016,S0021,S0023,S0040,S0047,S0064,S0066,S0071,S0076,S0078,S0090,S0095,S0102,S0114,S0119,S0121,S0126,S0138,S0145,S0150,S0169,S0174,S0176,S0193,S0200,S0205,S0217,S0224,S0229,S0231,S0241,S0243,S0248,S0255,S0267,S0272,S0279,S0296,S0298,S0303,S0322,S0327,S0334,S0346,S0351,S0353,S0358,S0370,S0377,S0382,S0396,S0401,S0406,S0408,S0425,S0432,S0437,S0449,S0451,S0456,S0461,S0463,S0475,S0480"
COURSE_009,과목009,GRP09,교사09,R109,2,"S0001,S0013,S0018,S0025,S0037,S0042,S0044,S0049,S0061,S0068,S0073,S0092,S0097,S0099,S0116,S0123,S0128,S0140,S0147,S0152,S0154,S0164,S0166,S0171,S0178,S0190,S0195,S0202,S0219,S0221,S0226,S0245,S0250,S0257,S0269,S0274,S0276,S0281,S0293,S0300,S0305,S0319,S0324,S0329,S0331,S0348,S0355,S0360,S0372,S0374,S0379,S0384,S0386,S0398,S0403,S0410,S0422,S0427,S0429,S0434,S0453,S0458,S0477"
COURSE_010,과목010,GRP10,교사10,R110,3,"S0015,S0020,S0022,S0039,S0046,S0051,S0063,S0070,S0075,S0077,S0087,S0089,S0094,S0101,S0113,S0118,S0125,S0142,S0144,S0149,S0168,S0173,S0180,S0192,S0197,S0199,S0204,S0216,S0223,S0228,S0242,S0247,S0252,S0254,S0271,S0278,S0283,S0295,S0297,S0302,S0307,S0309,S0321,S0326,S0333,S0345,S0350,S0352,S0357,S0376,S0381,S0400,S0405,S0407,S0412,S0424,S0431,S0436,S0448,S0455,S0460,S0462,S0472,S0474,S0479"
